what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1459739855370
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1459739856514
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1459739858339
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1459739867062
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1459739902924
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1459739922703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1459739935487
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1459739939519
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1459739948637
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1459739975756
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1459739979272
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1459739983378
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1459739987131
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1459739992859
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1459739996243
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1459740002844
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459740040959
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459740107375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459740110975
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459740119393
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459740127449
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459740197947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459740200849
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459740254607
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1459740254629
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459740257475
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459740391274
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459740393614
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459740400369
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1459740400393
activated,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1459740458646
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1459740458681
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1459740460325
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1459740460351
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1459740466993
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1459740467288
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1459740467839
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1459740477060
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1459740477485
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1459740477673
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1459740477870
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459740651276
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459741407172
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1459741416593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459741418964
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459741525522
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459741527283
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459741748382
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1459741749154
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459741751667
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459741779770
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1459741798746
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459741816680
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459741816781
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1459741818745
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1459741821669
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1459741826299
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1459741831860
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1459741899904
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1459741904037
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1459741906419
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459741910649
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459741912149
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1459741914379
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1459741915158
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459741915621
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459741917395
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1459741934777
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1459741983791
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1459741986857
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1459741988075
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1459741991472
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1459741996682
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1459741999957
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1459742002642
